n1,n2,n3,n4,n5,score,adj_score
6,14,25,29,47,2.3660149997115374,2.6185314205239103
9,37,40,41,46,2.3,2.5999999999999996
12,20,26,35,48,1.8,2.0525164208123727
7,31,32,33,45,1.7,2.0
8,11,13,27,50,1.4,1.7
8,9,16,37,39,1.0,1.108898643034595
6,18,31,32,47,1.0,1.0170192332376462
11,13,24,26,35,1.0,0.9941620903805034
22,33,35,45,48,1.0,0.8492422222222222
14,18,27,39,50,0.8660149997115376,0.7464416663782043
7,22,33,40,41,0.9,0.7380800000000001
10,12,24,26,49,0.5,0.635707531923484
18,22,24,45,50,0.8,0.6001866666666668
7,11,18,27,31,0.8,0.5798480808080808
8,11,14,29,39,0.7245112497836532,0.5377392839716874
13,24,27,40,46,0.7,0.527311746031746
8,13,17,37,46,0.5,0.5014622073395677
15,18,26,32,48,0.5,0.4946361644545775
11,13,22,28,33,0.5,0.46942304276145574
8,9,12,26,41,0.6,0.4485022222222222
1,12,35,38,41,0.3,0.44477419859015066
17,22,36,44,45,0.3,0.43456209131045714
11,24,27,33,45,0.7,0.42392
19,22,29,32,33,0.4,0.3917285101335899
4,15,41,46,49,0.3,0.3687762839288905
14,35,37,41,48,0.5415037499278844,0.35662165842461646
6,33,45,47,49,0.5,0.34663333333333335
5,12,26,28,45,0.3,0.3329379633963764
21,26,28,31,48,0.3,0.32868572674413976
17,27,31,32,50,0.5,0.31691111111111114
2,5,18,23,29,0.1071056910378788,0.28246782613596594
8,22,24,33,39,0.5,0.2663725252525252
6,24,25,49,50,0.4,0.23020854700854707
14,24,37,40,50,0.42451124978365307,0.21922236089476416
5,28,29,35,47,0.3,0.19391999999999998
9,15,27,34,41,0.15914996656159,0.19140669746496922
1,2,10,30,34,0.0,0.1289724207108337
19,20,23,42,49,0.0,0.1001420903805034
1,17,19,21,30,0.0,-0.05198035087719298
2,3,14,25,30,-0.1310300012890906,-0.05532559412371724
7,23,28,36,38,0.0,-0.06294017094017093
17,20,23,30,38,0.0,-0.07905712737127371
19,21,23,41,44,-0.0171410384032021,-0.11754484792701164
6,8,11,12,16,0.0307992906238564,-0.12019033900577324
25,26,41,43,46,-0.1648758862736511,-0.14736634491275558
8,26,31,44,50,-0.0337599691879753,-0.18998301828358252
7,13,22,30,48,-0.0579443117567401,-0.1936461299385583
2,4,29,32,47,-0.1111727374788937,-0.2042316746769613
6,16,25,41,45,-0.1012067086705726,-0.23437411607798
12,15,25,37,45,-0.1351860459816392,-0.2702549348705281
1,3,26,45,49,-0.1452853448052741,-0.27805341736763234
13,16,34,41,50,-0.1537241315107032,-0.2889774648440365
4,16,32,36,45,-0.1764360424190302,-0.29535411369785614
5,9,32,39,44,-0.2014524533094688,-0.30189043310744856
2,3,21,43,47,-0.2389231514683325,-0.31896244971394655
6,14,31,35,44,-0.1905609028199922,-0.3213184336841897
16,18,26,35,47,-0.1746319457668946,-0.32474989448484326
3,8,30,35,43,-0.2423093854434989,-0.36440716322127664
3,14,41,43,50,-0.2368041097389551,-0.36819490338974875
4,26,28,49,50,-0.2564469562305153,-0.4031943761928505
9,15,16,19,43,-0.3139721462052597,-0.40939103509414854
6,8,17,31,38,-0.2838817955528846,-0.41789622178239283
1,8,27,33,35,-0.2642117193382801,-0.4210517193382801
5,18,19,35,50,-0.2861641172431549,-0.4278297257087633
8,9,20,35,42,-0.3235375591670048,-0.4536032001926458
7,16,30,34,45,-0.3274330696798708,-0.455685190891992
8,27,31,39,45,-0.2845231717873384,-0.4625228850489871
6,7,29,33,37,-0.3440117764873803,-0.4778751264044615
5,25,27,29,39,-0.3596601710606856,-0.4846591253090516
1,11,14,16,19,-0.3637525825817596,-0.49015026374117987
9,18,46,47,48,-0.3748065706217217,-0.49794372242140866
28,38,43,48,50,-0.3890347884822915,-0.504147341034844
5,16,27,32,42,-0.3817599125569785,-0.510438431075497
10,32,40,44,45,-0.3886054753547331,-0.5123686412603647
8,9,17,32,45,-0.3742841456016885,-0.547863828141371
